season_year,team,matches_played,wins,losses,win_pct
2008,Chennai Super Kings,16,9,7,56.25
2008,Delhi Capitals,14,7,7,50.0
2008,Kolkata Knight Riders,13,6,7,46.15
2008,Mumbai Indians,14,7,7,50.0
2008,Punjab Kings,15,10,5,66.67
2008,Rajasthan Royals,16,13,3,81.25
2008,Royal Challengers Bengaluru,14,4,10,28.57
2008,Sunrisers Hyderabad,14,2,12,14.29
2009,Chennai Super Kings,14,8,6,57.14
2009,Delhi Capitals,15,10,5,66.67
2009,Kolkata Knight Riders,13,3,10,23.08
2009,Mumbai Indians,13,5,8,38.46
2009,Punjab Kings,14,7,7,50.0
2009,Rajasthan Royals,13,6,7,46.15
2009,Royal Challengers Bengaluru,16,9,7,56.25
2009,Sunrisers Hyderabad,16,9,7,56.25
2010,Chennai Super Kings,16,9,7,56.25
2010,Delhi Capitals,14,7,7,50.0
2010,Kolkata Knight Riders,14,7,7,50.0
2010,Mumbai Indians,16,11,5,68.75
2010,Punjab Kings,14,4,10,28.57
2010,Rajasthan Royals,14,6,8,42.86
2010,Royal Challengers Bengaluru,16,8,8,50.0
2010,Sunrisers Hyderabad,16,8,8,50.0
2011,Chennai Super Kings,16,11,5,68.75
2011,Delhi Capitals,14,4,10,28.57
2011,Kochi Tuskers Kerala,14,6,8,42.86
2011,Kolkata Knight Riders,15,8,7,53.33
2011,Mumbai Indians,16,10,6,62.5
2011,Pune Warriors,14,4,10,28.57
2011,Punjab Kings,14,7,7,50.0
2011,Rajasthan Royals,13,6,7,46.15
2011,Royal Challengers Bengaluru,16,10,6,62.5
2011,Sunrisers Hyderabad,14,6,8,42.86
2012,Chennai Super Kings,18,10,8,55.56
2012,Delhi Capitals,18,11,7,61.11
2012,Kolkata Knight Riders,17,12,5,70.59
2012,Mumbai Indians,17,10,7,58.82
2012,Pune Warriors,16,4,12,25.0
2012,Punjab Kings,16,8,8,50.0
2012,Rajasthan Royals,16,7,9,43.75
2012,Royal Challengers Bengaluru,15,8,7,53.33
2012,Sunrisers Hyderabad,15,4,11,26.67
2013,Chennai Super Kings,18,12,6,66.67
2013,Delhi Capitals,16,3,13,18.75
2013,Kolkata Knight Riders,16,6,10,37.5
2013,Mumbai Indians,19,13,6,68.42
2013,Pune Warriors,16,4,12,25.0
2013,Punjab Kings,16,8,8,50.0
2013,Rajasthan Royals,18,11,7,61.11
2013,Royal Challengers Bengaluru,16,9,7,56.25
2013,Sunrisers Hyderabad,17,10,7,58.82
2014,Chennai Super Kings,16,10,6,62.5
2014,Delhi Capitals,14,2,12,14.29
2014,Kolkata Knight Riders,16,11,5,68.75
2014,Mumbai Indians,15,7,8,46.67
2014,Punjab Kings,17,12,5,70.59
2014,Rajasthan Royals,14,7,7,50.0
2014,Royal Challengers Bengaluru,14,5,9,35.71
2014,Sunrisers Hyderabad,14,6,8,42.86
2015,Chennai Super Kings,17,10,7,58.82
2015,Delhi Capitals,14,5,9,35.71
2015,Kolkata Knight Riders,13,7,6,53.85
2015,Mumbai Indians,16,10,6,62.5
2015,Punjab Kings,14,3,11,21.43
2015,Rajasthan Royals,14,7,7,50.0
2015,Royal Challengers Bengaluru,16,8,8,50.0
2015,Sunrisers Hyderabad,14,7,7,50.0
2016,Delhi Capitals,14,7,7,50.0
2016,Gujarat Lions,16,9,7,56.25
2016,Kolkata Knight Riders,15,8,7,53.33
2016,Mumbai Indians,14,7,7,50.0
2016,Punjab Kings,14,4,10,28.57
2016,Rising Pune Supergiant,14,5,9,35.71
2016,Royal Challengers Bengaluru,16,9,7,56.25
2016,Sunrisers Hyderabad,17,11,6,64.71
2017,Delhi Capitals,14,6,8,42.86
2017,Gujarat Lions,14,4,10,28.57
2017,Kolkata Knight Riders,16,9,7,56.25
2017,Mumbai Indians,17,12,5,70.59
2017,Punjab Kings,14,7,7,50.0
2017,Rising Pune Supergiant,16,10,6,62.5
2017,Royal Challengers Bengaluru,13,3,10,23.08
2017,Sunrisers Hyderabad,14,8,6,57.14
2018,Chennai Super Kings,16,11,5,68.75
2018,Delhi Capitals,14,5,9,35.71
2018,Kolkata Knight Riders,16,9,7,56.25
2018,Mumbai Indians,14,6,8,42.86
2018,Punjab Kings,14,6,8,42.86
2018,Rajasthan Royals,15,7,8,46.67
2018,Royal Challengers Bengaluru,14,6,8,42.86
2018,Sunrisers Hyderabad,17,10,7,58.82
2019,Chennai Super Kings,17,10,7,58.82
2019,Delhi Capitals,16,10,6,62.5
2019,Kolkata Knight Riders,14,6,8,42.86
2019,Mumbai Indians,16,11,5,68.75
2019,Punjab Kings,14,6,8,42.86
2019,Rajasthan Royals,14,5,9,35.71
2019,Royal Challengers Bengaluru,14,5,9,35.71
2019,Sunrisers Hyderabad,15,6,9,40.0
2021,Chennai Super Kings,30,17,13,56.67
2021,Delhi Capitals,33,19,14,57.58
2021,Kolkata Knight Riders,31,16,15,51.61
2021,Mumbai Indians,30,18,12,60.0
2021,Punjab Kings,28,12,16,42.86
2021,Rajasthan Royals,28,11,17,39.29
2021,Royal Challengers Bengaluru,30,16,14,53.33
2021,Sunrisers Hyderabad,30,11,19,36.67
2022,Chennai Super Kings,14,4,10,28.57
2022,Delhi Capitals,14,7,7,50.0
2022,Gujarat Titans,16,12,4,75.0
2022,Kolkata Knight Riders,14,6,8,42.86
2022,Lucknow Super Giants,15,9,6,60.0
2022,Mumbai Indians,14,4,10,28.57
2022,Punjab Kings,14,7,7,50.0
2022,Rajasthan Royals,17,10,7,58.82
2022,Royal Challengers Bengaluru,16,9,7,56.25
2022,Sunrisers Hyderabad,14,6,8,42.86
2023,Chennai Super Kings,16,10,6,62.5
2023,Delhi Capitals,14,5,9,35.71
2023,Gujarat Titans,17,11,6,64.71
2023,Kolkata Knight Riders,14,6,8,42.86
2023,Lucknow Super Giants,15,8,7,53.33
2023,Mumbai Indians,16,9,7,56.25
2023,Punjab Kings,14,6,8,42.86
2023,Rajasthan Royals,14,7,7,50.0
2023,Royal Challengers Bengaluru,14,7,7,50.0
2023,Sunrisers Hyderabad,14,4,10,28.57
2024,Chennai Super Kings,14,7,7,50.0
2024,Delhi Capitals,14,7,7,50.0
2024,Gujarat Titans,12,5,7,41.67
2024,Kolkata Knight Riders,14,11,3,78.57
2024,Lucknow Super Giants,14,7,7,50.0
2024,Mumbai Indians,14,4,10,28.57
2024,Punjab Kings,14,5,9,35.71
2024,Rajasthan Royals,15,9,6,60.0
2024,Royal Challengers Bengaluru,15,7,8,46.67
2024,Sunrisers Hyderabad,16,9,7,56.25
